rid, runtime, starttime, endtime, data, bandwidth;
0, 0.619, 191.932, 192.551, 20570180, 265.850468498;
1, 0.00899999999999, 192.751, 192.76, 20570180, 18284.6044445;
10, 0.00700000000001, 200.093, 200.1, 20570180, 23508.7771428;
11, 0.00700000000001, 200.909, 200.916, 20570180, 23508.7771428;
12, 0.00800000000001, 201.724, 201.732, 20570180, 20570.18;
13, 0.00900000000001, 202.54, 202.549, 20570180, 18284.6044444;
14, 0.00800000000001, 203.355, 203.363, 20570180, 20570.18;
15, 0.00800000000001, 204.164, 204.172, 20570180, 20570.18;
16, 0.00700000000001, 204.978, 204.985, 20570180, 23508.7771428;
17, 0.00800000000001, 205.795, 205.803, 20570180, 20570.18;
18, 0.00800000000001, 206.611, 206.619, 20570180, 20570.18;
19, 0.00700000000001, 207.424, 207.431, 20570180, 23508.7771428;
2, 0.00799999999998, 193.567, 193.575, 20570180, 20570.18;
3, 0.00700000000001, 194.382, 194.389, 20570180, 23508.7771428;
4, 0.00800000000001, 195.2, 195.208, 20570180, 20570.18;
5, 0.00800000000001, 196.015, 196.023, 20570180, 20570.18;
6, 0.00800000000001, 196.832, 196.84, 20570180, 20570.18;
7, 0.00700000000001, 197.646, 197.653, 20570180, 23508.7771428;
8, 0.00700000000001, 198.46, 198.467, 20570180, 23508.7771428;
9, 0.00700000000001, 199.277, 199.284, 20570180, 23508.7771428;
