rid, runtime, starttime, endtime, data, bandwidth;
0, 1.443, 202.319, 203.762, 329624660, 1827.44094248;
1, 0.348, 203.941, 204.289, 329624660, 7577.5783908;
10, 0.076, 212.665, 212.741, 329624660, 34697.3326316;
11, 0.246, 213.6, 213.846, 329624660, 10719.5011382;
12, 0.136, 214.542, 214.678, 329624660, 19389.6858824;
13, 0.102, 215.493, 215.595, 329624660, 25852.9145098;
14, 0.074, 216.439, 216.513, 329624660, 35635.0983784;
15, 0.08, 217.388, 217.468, 329624660, 32962.466;
16, 0.075, 218.327, 218.402, 329624660, 35159.9637333;
17, 0.072, 219.294, 219.366, 329624660, 36624.9622222;
18, 0.074, 220.234, 220.308, 329624660, 35635.0983784;
19, 0.138, 221.167, 221.305, 329624660, 19108.675942;
2, 0.088, 205.131, 205.219, 329624660, 29965.8781818;
3, 0.075, 206.078, 206.153, 329624660, 35159.9637333;
4, 0.071, 207.021, 207.092, 329624660, 37140.8067605;
5, 0.082, 207.961, 208.043, 329624660, 32158.5034146;
6, 0.073, 208.903, 208.976, 329624660, 36123.250411;
7, 0.081, 209.838, 209.919, 329624660, 32555.5219753;
8, 0.074, 210.78, 210.854, 329624660, 35635.0983784;
9, 0.074, 211.72, 211.794, 329624660, 35635.0983784;
