rid, runtime, starttime, endtime, data, bandwidth;
0, 2.149, 195.789, 197.938, 313813820, 1168.22268962;
1, 0.454, 199.747, 200.201, 313813820, 5529.75894273;
10, 0.193, 223.075, 223.268, 313813820, 13007.8267358;
11, 0.199, 225.546, 225.745, 313813820, 12615.6309548;
12, 0.207, 228.137, 228.344, 313813820, 12128.0703382;
13, 0.189, 230.698, 230.887, 313813820, 13283.1246561;
14, 0.192, 233.276, 233.468, 313813820, 13075.5758333;
15, 0.187, 235.748, 235.935, 313813820, 13425.1901604;
16, 0.186, 238.334, 238.52, 313813820, 13497.3686022;
17, 0.194, 240.844, 241.038, 313813820, 12940.7760825;
18, 0.209, 243.415, 243.624, 313813820, 12012.0122488;
19, 0.186, 245.924, 246.11, 313813820, 13497.3686022;
2, 0.299, 202.605, 202.904, 313813820, 8396.35638796;
3, 0.193, 205.14, 205.333, 313813820, 13007.8267358;
4, 0.265, 207.714, 207.979, 313813820, 9473.62475472;
5, 0.264, 210.243, 210.507, 313813820, 9509.50969697;
6, 0.268, 212.862, 213.13, 313813820, 9367.57671642;
7, 0.19, 215.37, 215.56, 313813820, 13213.2134737;
8, 0.194, 217.949, 218.143, 313813820, 12940.7760825;
9, 0.206, 220.48, 220.686, 313813820, 12186.944466;
