rid, runtime, starttime, endtime, data, bandwidth;
0, 1.025, 26.9092, 27.9342, 19730400, 153.993365854;
1, 0.2089, 27.8547, 28.0636, 19730400, 755.592149354;
10, 0.0131, 29.5119, 29.525, 19730400, 12049.0992366;
11, 0.0128, 29.6821, 29.6949, 19730400, 12331.5;
12, 0.0141, 29.8367, 29.8508, 19730400, 11194.5531915;
13, 0.0129, 30.0068, 30.0197, 19730400, 12235.9069767;
14, 0.0143, 30.1599, 30.1742, 19730400, 11037.986014;
15, 0.0143, 30.3296, 30.3439, 19730400, 11037.986014;
16, 0.0137, 30.484, 30.4977, 19730400, 11521.4014599;
17, 0.0139, 30.6538, 30.6677, 19730400, 11355.6258993;
18, 0.0139, 30.8083, 30.8222, 19730400, 11355.6258993;
19, 0.0142, 30.9777, 30.9919, 19730400, 11115.7183099;
2, 0.0128, 28.2043, 28.2171, 19730400, 12331.5;
3, 0.0131, 28.3748, 28.3879, 19730400, 12049.0992366;
4, 0.013, 28.5287, 28.5417, 19730400, 12141.7846154;
5, 0.0127, 28.6986, 28.7113, 19730400, 12428.5984252;
6, 0.0129, 28.8517, 28.8646, 19730400, 12235.9069767;
7, 0.0129, 29.0308, 29.0437, 19730400, 12235.9069767;
8, 0.0131, 29.1863, 29.1994, 19730400, 12049.0992366;
9, 0.0131, 29.3581, 29.3712, 19730400, 12049.0992366;
