rid, runtime, starttime, endtime, data, bandwidth;
0, 0.0173308849335, 1379511702.61, 1379511702.62, 1280200, 590.945011713;
1, 0.0145108699799, 1379511702.64, 1379511702.65, 1280200, 705.788144626;
2, 0.0138490200043, 1379511702.67, 1379511702.68, 1280200, 739.518030651;
3, 0.0147581100464, 1379511702.69, 1379511702.71, 1280200, 693.964197842;
4, 0.0136921405792, 1379511702.72, 1379511702.73, 1280200, 747.99115162;
5, 0.0149040222168, 1379511702.75, 1379511702.76, 1280200, 687.170204863;
6, 0.0142929553986, 1379511702.77, 1379511702.79, 1280200, 716.548797251;
7, 0.0149161815643, 1379511702.8, 1379511702.81, 1280200, 686.610038623;
8, 0.0143427848816, 1379511702.83, 1379511702.84, 1280200, 714.059374421;
9, 0.0241570472717, 1379511702.85, 1379511702.88, 1280200, 423.959099173;
