rid, runtime, starttime, endtime, data, bandwidth;
0, 3.136, 134.108, 137.244, 20734100, 52.8931122449;
1, 0.21, 137.222, 137.432, 20734100, 789.870476191;
10, 0.219, 140.14, 140.359, 20734100, 757.410045662;
11, 0.218, 140.469, 140.687, 20734100, 760.88440367;
12, 0.214, 140.792, 141.006, 20734100, 775.106542056;
13, 0.257, 141.115, 141.372, 20734100, 645.419455253;
14, 0.219, 141.436, 141.655, 20734100, 757.410045662;
15, 0.25, 141.765, 142.015, 20734100, 663.4912;
16, 0.251, 142.089, 142.34, 20734100, 660.847808765;
17, 0.028, 142.414, 142.442, 20734100, 5924.02857142;
18, 0.214, 142.737, 142.951, 20734100, 775.106542056;
19, 0.028, 143.064, 143.092, 20734100, 5924.02857142;
2, 0.222, 137.545, 137.767, 20734100, 747.174774775;
3, 0.22, 137.871, 138.091, 20734100, 753.967272727;
4, 0.22, 138.195, 138.415, 20734100, 753.967272727;
5, 0.217, 138.522, 138.739, 20734100, 764.39078341;
6, 0.216, 138.842, 139.058, 20734100, 767.92962963;
7, 0.293, 139.163, 139.456, 20734100, 566.118771331;
8, 0.25, 139.489, 139.739, 20734100, 663.4912;
9, 0.213, 139.813, 140.026, 20734100, 778.745539906;
